text,language,label,category,source
Important: Your mobile recharge of Rs.999 is successful. Validity 28 days. Thank you.,en,legitimate,legitimate,synthetic_template
"Congratulations! You won Rs 10,00,000 in KBC lucky draw. Call 8123456789 and pay processing fee to claim prize.",en,scam,lottery,synthetic_template
YOUR LIBRARY BOOK IS DUE ON 22-05-2026.. PLEASE RETURN IT AT THE COUNTER TO AVOID A LATE FEE..,en,legitimate,legitimate,synthetic_template
"Canara Bank: Rs..50,000 credited to your account on 03-06-26 by NEFT.. Avl bal Rs..12,400..",en,legitimate,legitimate,synthetic_template
"Rs.499 debit aagiduchu account XX4412 la, balance Rs.8,330, OTP yaarukum share pannadheenga",ta,legitimate,legitimate,synthetic_tanglish
"உங்கள் பணம் ரூ.2,500 பெறப்பட்டது. ரசீது எண் 88213. இது தானியங்கி செய்தி.",ta,legitimate,legitimate,synthetic_template
"Attention! Your consignment is seized. Clearance fee Rs 10,000 required. Contact 9445566778",en,scam,courier_parcel,synthetic_template
LOW INTEREST LOAN AVAILABLE ANY CIBIL SCORE. ZERO PAPERWORK. CONTACT 6383991122,en,scam,loan,synthetic_template
"112233 is your OTP for Kotak login. Valid for 10 minutes. Do not share this OTP with anyone, including bank staff.",en,legitimate,legitimate,synthetic_template
"Invest in our forex plan.. Risk free returns, get 3x in 30 days.. Whatsapp 6383991122",en,scam,investment,synthetic_template
Important: உங்கள் சிலிண்டர் பதிவு எண் 7781234.. இரண்டு வேலை நாட்களில் வழங்கப்படும்..,ta,legitimate,legitimate,synthetic_template
YOUR AADHAAR UPDATE REQUEST 8812 HAS BEEN ACCEPTED AT THE ENROLMENT CENTRE. CHECK STATUS ON THE OFFICIAL PORTAL AFTER 7 DAYS.,en,legitimate,legitimate,synthetic_template
"YOUR MOBILE NUMBER IS SELECTED IN COCA COLA LUCKY DRAW. PRIZE RS 5,00,000. CONTACT WHATSAPP 7012345678",en,scam,lottery,synthetic_template
EB notice: immediate disconnection at 9 pm. Update payment at http://sbi-kyc-update.xyz/verify,en,scam,electricity_bill,synthetic_template
Attention! Congratulations on completing the cyber safety workshop. Your certificate is ready for collection.,en,legitimate,legitimate,synthetic_template
வங்கி 26-01-2026 அன்று விடுமுறை காரணமாக மூடப்படும். அடுத்த வேலை நாளில் இயல்பு சேவை.,ta,legitimate,legitimate,synthetic_template
AMAZON HIRING WORK FROM HOME. DAILY PAYOUT. SECURITY DEPOSIT RS 1500 REFUNDABLE. APPLY HTTP://TINYURL.COM/KYC-UPDT,en,scam,job,synthetic_template
"ரூ.1,250 உங்கள் கணக்கிலிருந்து பற்று வைக்கப்பட்டது. இருப்பு ரூ.8,330. OTP ஐ யாரிடமும் பகிர வேண்டாம்.",ta,legitimate,legitimate,synthetic_template
Your gas cylinder has been booked. Booking ID 7781234. Delivery in 2 working days. Thank you.,en,legitimate,legitimate,synthetic_template
"உங்கள் கணக்கு முடக்கப்படும். OTP 554411 ஐ பகிரவும், இல்லையெனில் சேவை நிறுத்தப்படும்.",ta,scam,otp,synthetic_template
"To stop the unauthorised transaction of Rs 999, share the verification code immediately. Act fast!",en,scam,otp,synthetic_template
"112233 is your OTP for Axis Bank login.. Valid for 10 minutes.. Do not share this OTP with anyone, including bank staff..",en,legitimate,legitimate,synthetic_template
"Data entry job, no experience needed.. Earn Rs 50,000 weekly.. Registration charge only Rs 750..",en,scam,job,synthetic_template
உங்கள் பணம் ரூ.499 பெறப்பட்டது. ரசீது எண் 88213. இது தானியங்கி செய்தி.,ta,legitimate,legitimate,synthetic_template
"உங்கள் பணம் ரூ.4,999 பெறப்பட்டது. ரசீது எண் 88213. இது தானியங்கி செய்தி.",ta,legitimate,legitimate,synthetic_template
"To stop the unauthorised transaction of Rs 499, share the verification code immediately.",en,scam,otp,synthetic_template
"Your mobile recharge of Rs.2,500 is successful. Validity 28 days. Thank you.",en,legitimate,legitimate,synthetic_template
EB notice: immediate disconnection at 9 pm. Update payment at http://bit.ly/3kycupd,en,scam,electricity_bill,synthetic_template
"483920 IS YOUR OTP FOR KOTAK LOGIN. VALID FOR 10 MINUTES. DO NOT SHARE THIS OTP WITH ANYONE, INCLUDING BANK STAFF.",en,legitimate,legitimate,synthetic_template
"Guaranteed 30% monthly return on crypto trading. Invest Rs 1,250 and double your money in 15 days. Join http://paytm-cashback.buzz/claim",en,scam,investment,synthetic_template
"HDFC Bank: Rs.4,999 credited to your account on 03-06-26 by NEFT. Avl bal Rs.12,400. Regards.",en,legitimate,legitimate,synthetic_template
"Dear customer, Your ration card e-KYC has been completed successfully at the fair price shop. No further action needed.",en,legitimate,legitimate,synthetic_template
"Dear customer, your electricity bill of Rs..2,500 for May is due on 20-05-2026.. Pay through the official app or nearest office.. Team",en,legitimate,legitimate,synthetic_template
"I HAVE YOUR PRIVATE VIDEO. PAY RS 25,000 OR I WILL SEND IT TO ALL YOUR CONTACTS.",en,scam,social_media,synthetic_template
907845 உங்கள் உள்நுழைவு OTP.. 10 நிமிடம் செல்லுபடியாகும்.. இதை யாரிடமும் சொல்ல வேண்டாம்.. Act fast!,ta,legitimate,legitimate,synthetic_template
Pre-approved personal loan of Rs 499 approved. No documents required. Pay processing fee Rs 999. Call 6383991122,en,scam,loan,synthetic_template
"ACCEPT THE PAYMENT REQUEST ON PHONEPE TO RECEIVE CASHBACK OF RS 4,999. ENTER PIN TO CONFIRM.",en,scam,banking,synthetic_template
Dear customer your Kotak KYC has expired. Account will be blocked within 24 hours. Click http://192.168.44.9/bank/login to update. Act fast!,en,scam,kyc,synthetic_template
"உங்கள் ரீசார்ஜ் ரூ..50,000 வெற்றிகரமாக முடிந்தது.. 28 நாட்கள் செல்லுபடியாகும்..",ta,legitimate,legitimate,synthetic_template
Your request for a new chequebook has been registered. It will reach you in 7 working days. Regards.,en,legitimate,legitimate,synthetic_template
"Important: Rs.50,000 debit aagiduchu account XX4412 la, balance Rs.8,330, OTP yaarukum share pannadheenga",ta,legitimate,legitimate,synthetic_tanglish
Dear customer your electricity connection will be disconnected tonight because bill is not updated. Call officer 6383991122,en,scam,electricity_bill,synthetic_template
"Ungaloda order ship aagiduchu, naalaiku delivery aagum, app la track pannunga Regards.",ta,legitimate,legitimate,synthetic_tanglish
Part time job available. Like YouTube videos and earn Rs 500 per day. Join WhatsApp 7012345678,en,scam,job,synthetic_template
YOUR FEDEX PARCEL IS HELD AT CUSTOMS DUE TO ILLEGAL ITEMS. CALL 6383991122 IMMEDIATELY TO AVOID LEGAL ACTION.,en,scam,courier_parcel,synthetic_template
Your gas subsidy is pending. Update bank account at http://bit.ly/3kycupd to receive Rs 999.,en,scam,impersonation,synthetic_template
ரூ 499 பற்று வைக்கப்பட்டது. நீங்கள் செய்யவில்லை என்றால் 9445566778 ஐ உடனே அழைக்கவும்.,ta,scam,banking,synthetic_template
Your net banking password expires today. Confirm your card number and CVV at http://tinyurl.com/kyc-updt.,en,scam,banking,synthetic_template
"Dear customer, Dear customer, your electricity bill of Rs.999 for May is due on 20-05-2026. Pay through the official app or nearest office.",en,legitimate,legitimate,synthetic_template
"Loan approve aagiduchu Rs 1,250, processing fee mattum pay pannunga, documents thevai illa",ta,scam,impersonation,synthetic_tanglish
SBI: Your debit card is blocked. Share card number and CVV to reactivate.,en,scam,banking,synthetic_template
"Dear customer, Your cheque number 445122 for Rs..2,500 has been cleared on 14-05-2026..",en,legitimate,legitimate,synthetic_template
"MUMMY PHONE UDANJU POCHU, ITHU EN NEW NUMBER, RS 10,000 URGENT AH ANUPPUNGA",ta,scam,impersonation,synthetic_tanglish
"Dear customer, your electricity bill of Rs.4,999 for May is due on 20-05-2026. Pay through the official app or nearest office. Act fast!",en,legitimate,legitimate,synthetic_template
"உங்கள் ரீசார்ஜ் ரூ.4,999 வெற்றிகரமாக முடிந்தது. 28 நாட்கள் செல்லுபடியாகும்.",ta,legitimate,legitimate,synthetic_template
DEAR CUSTOMER YOUR KOTAK KYC HAS EXPIRED. ACCOUNT WILL BE BLOCKED WITHIN 24 HOURS. CLICK HTTP://BIT.LY/3KYCUPD TO UPDATE.,en,scam,kyc,synthetic_template
"Congratulations! You won Rs 5,00,000 in KBC lucky draw.. Call 6383991122 and pay processing fee to claim prize..",en,scam,lottery,synthetic_template
Union Bank security team here.. Confirm OTP 112233 within 10 minutes or your net banking will be disabled..,en,scam,otp,synthetic_template
"YOUR MOBILE RECHARGE OF RS.50,000 IS SUCCESSFUL. VALIDITY 28 DAYS. THANK YOU.",en,legitimate,legitimate,synthetic_template
Anna urgent ah OTP 554411 share pannunga illana account block aagidum,ta,scam,impersonation,synthetic_tanglish
"Your consignment is seized. Clearance fee Rs 50,000 required. Contact 9876543210",en,scam,courier_parcel,synthetic_template
"Dear customer, This is from Mumbai customs. Your parcel contains narcotics. Stay on this call, do not disconnect.",en,scam,courier_parcel,synthetic_template
"I am Major Rajesh from Indian Army, posted transfer. Pay advance Rs 4,999 for the furniture, I will send truck.",en,scam,impersonation,synthetic_template
"Accept the payment request on Paytm to receive cashback of Rs 25,000. Enter PIN to confirm. Act fast!",en,scam,banking,synthetic_template
"220199 is your OTP for Axis Bank login. Valid for 10 minutes. Do not share this OTP with anyone, including bank staff.",en,legitimate,legitimate,synthetic_template
"முன்கூட்டியே அனுமதிக்கப்பட்ட ரூ 4,999 கடன். ஆவணம் தேவையில்லை. செயலாக்க கட்டணம் ரூ 999. 8123456789",ta,scam,loan,synthetic_template
"Your train PNR 4451223 is confirmed, coach S4 berth 32. Happy journey. Thank you.",en,legitimate,legitimate,synthetic_template
Your Instagram account will be permanently disabled. Confirm your identity here http://bit.ly/3kycupd,en,scam,social_media,synthetic_template
"Important: உங்கள் காசோலை எண் 445122, ரூ..999 14-05-2026 அன்று செலுத்தப்பட்டது..",ta,legitimate,legitimate,synthetic_template
"907845 is your OTP for ICICI Bank login. Valid for 10 minutes. Do not share this OTP with anyone, including bank staff.",en,legitimate,legitimate,synthetic_template
"Congratulations! You won Rs 5,00,000 in KBC lucky draw. Call 9445566778 and pay processing fee to claim prize.",en,scam,lottery,synthetic_template
ICICI Bank: Your debit card is blocked. Share card number and CVV to reactivate.,en,scam,banking,synthetic_template
554411 உங்கள் உள்நுழைவு OTP. 10 நிமிடம் செல்லுபடியாகும். இதை யாரிடமும் சொல்ல வேண்டாம்.,ta,legitimate,legitimate,synthetic_template
Your order has been shipped and will be delivered by tomorrow 7 PM. Track in the app.,en,legitimate,legitimate,synthetic_template
"Rs.50,000 debited from A/c XX4412 on 12-05-26. Avl Bal Rs.8,330. Not you? Call 18001234. Do not share OTP with anyone. Regards.",en,legitimate,legitimate,synthetic_template
சைபர் பாதுகாப்பு பயிற்சியை முடித்ததற்கு வாழ்த்துக்கள். உங்கள் சான்றிதழ் தயாராக உள்ளது. Regards.,ta,legitimate,legitimate,synthetic_template
"Rs.2,500 debit aagiduchu account XX4412 la, balance Rs.8,330, OTP yaarukum share pannadheenga Team",ta,legitimate,legitimate,synthetic_tanglish
"Dear customer, your Union Bank account needs verification. Share the OTP 483920 received on your mobile to complete the process.",en,scam,otp,synthetic_template
"Rs..1,250 debited from A/c XX4412 on 12-05-26.. Avl Bal Rs..8,330.. Not you? Call 18001234.. Do not share OTP with anyone..",en,legitimate,legitimate,synthetic_template
Important: Reminder: your LPG cylinder booking is confirmed. Delivery within 2 working days. Pay only to the delivery person.,en,legitimate,legitimate,synthetic_template
"Dear customer, Dear customer, your electricity bill of Rs.1,250 for May is due on 20-05-2026. Pay through the official app or nearest office.",en,legitimate,legitimate,synthetic_template
"I am CBI officer. Your Aadhaar is used in money laundering case. This is a digital arrest, stay on video call.",en,scam,digital_arrest,synthetic_template
Your monthly statement for A/c XX4412 is ready. View it by logging into the official Union Bank net banking portal.,en,legitimate,legitimate,synthetic_template
"Dear customer, அரசு மருத்துவமனையில் உங்கள் சந்திப்பு 15-05-2026 காலை 10:30 மணிக்கு உறுதி செய்யப்பட்டது.",ta,legitimate,legitimate,synthetic_template
"Your mobile recharge of Rs.25,000 is successful. Validity 28 days. Thank you.",en,legitimate,legitimate,synthetic_template
Important: Your exam results are published. Visit the official university website and log in with your register number.,en,legitimate,legitimate,synthetic_template
